,Article Index,Part,Percentage
3312,62254,"AP - Having served 17 terms, Illinois Rep. Phil Crane is the most senior Republican in the House. His quest for an 18th is",60
990,45720,Ichiro Suzuki went home without,20
4981,56469,Reuters - Scientists who synthesized two genes from the virus that caused,40
4444,98644,Three Americans jailed for up to 10 years for torturing Afghans and running a private jail in Kabul begin their appeal.,100
2454,3366,The Greek sprinters Kostantinos Kenteris and Ekaterini Thanou  facing sanctions after missing drugs tests  quit the Games yesterday to avoid the humiliation of being thrown out by the IOC. ,100
4128,45971,"SanDisk has announced a number of memory card specific products at Photokina, in Cologne today. For the serious professional photographer, the company announced an 8Gb Compact Flash card costing $1000, a",80
4837,114279,The US Army said that eight of toppled Iraqi leader Saddam Hussein 39;s jailed lieutenants,60
2342,68904,The NFL 39;s position on Ricky Williams 39;s playing status didn 39;t change following Thursday 39;s meeting in the,60
4294,94849,"European Union (EU) lawmakers gathered Thursday for a vote widely expected to appove the bloc 39;s new executive arm, ending three weeks of institutional limbo for the expanding bloc.",100
3286,78908,An ailing Yasser Arafat entered a fourth day of emergency treatment Monday,40
2522,80579,"The Italians lost their 100 per cent record in Europe having won their first three matches, but a point",60
3260,16723,Vulnerabilities in,20
3388,46588,"NEW YORK - A warning to celebrities: you're not in the clear just yet. ""Punk'd,"" hosted by Ashton Kutcher, will continue for three more",80
3196,81107,We know by now there are three Shaquille O,40
3619,37980,"Nokia plans to release next month a new smart phone with a built-in megapixel camera, as part of an effort to expand its product portfolio.",100
3821,96023,LONDON : British music group EMI reported a fall in interim profits,40
4001,42230,Hotmail users who use Microsoft 39;s Outlook and Outlook Express clients will,40
3759,61673,"NASA says a poorly designed parachute is the likely reason its space probe, Genesis, came crashing back to earth last week, losing much of its cargo of solar dust.",100
2295,53756,"VoIP will reach about 400,000 US households by",20
201,46205,"Pharmaceutical titan Merck amp; Co. Inc. yesterday pulled its blockbuster arthritis drug Vioxx off the market,",40
2193,65810,Ads in video games are becoming a lucrative area for firms trying,80
4851,97993,Kyle Boller throws two touchdown passes in the,40
1756,111596,Hitachi has released its first all Serial ATA array and has bundled it,40
884,80898,"Tom Lehman, who was last night appointed captain of the 2006 US Ryder Cup team, admitted:  quot;For the first time ever we will be the underdogs.",100
4448,7741,AP - A leading credit ratings agency raised its outlook Monday for India's economy despite rising inflation and insufficient monsoon,80
1284,62946,Will today 39;s careening crude oil prices reprise That  39;70s Show? Not according to Alan Greenspan. The Federal Reserve chairman said this year 39;s price climbs will likely have a far gentler impact on the economy ,100
164,71096,James Hardie Industries says it has written to the foundation it set up to compensate asbestos victims reaffirming its willingness to top up the fund.,100
88,111225,"Sales of the Nintendo DS handheld gaming device are going better than expected, prompting Nintendo to raise its full-year shipment",80
731,26850,Hundreds of demonstrators marched in Turkey 39;s capital Tuesday to protest proposed legislation,40
2224,83633,"Q: Through downsizing, attrition, and layoffs, I'm the only English-speaking person left on my team. My two remaining co-workers are naturalized citizens. They both have a wealth of experience and seem to do a terrific job. The problem is, they now constantly speak in their native tongue. When they do address me, it's in broken English, resulting in frequent misunderstandings ...",100
577,84581,"British companies will move all the unskilled labour they can overseas within a decade, the",60
4,93918,"Welcome to The Show! On Novemeber 21 in Homestead, Fla, NASCAR will crown a champion when the inaugural Chase for the Nextel Cup concludes.",100
3010,72788,Description: Marsh amp; McLennan CEO Jeffrey Greenberg,20
490,78569,BOLTON returned to fourth,20
3237,116875,"If it can keep integrating buys and grow profits,",60
1120,105050,House prices across the UK will come to a,20
444,77506,"Oil prices bounced higher Friday following two days of sharp declines, but traders said they expect prices to move lower again by early next week in anticipation of the Energy Department's next petroleum supply report.",100
2099,112304,"The state health service, political parties, tax officials and the media top Greeks list of perceived corruption, according to a global survey published yesterday by the Transparency International graft watchdog.",100
1047,68348,"TOKYO (Reuters) - As the death toll rose from Japan's deadliest typhoon in two decades, experts",60
659,73973,"Apparently anyone who thought there was a major scandal at insurance brokerage Marsh  amp; McLennan is mistaken. That, at least, was the claim yesterday of new chief executive Michael Cherkasky.",100
2833,98927,"The success of platforms like JBoss, Apache and Jonas will boost open-source integration products--if some",80
4407,40062,"CHILE 39;S Supreme Court today lifted the immunity from prosecution of former dictator Augusto Pinochet, who",60
4213,31437,TOKYO - The northern Japanese Hokkaido Island has been stroke by a strong magnitude 7 earthquake. The authorities are warning the local population of the possible powerful tsunami,80
4309,117470,"The developer that built Dulles Town Center in 1999 is planning to build a 300,000-square-foot open-air shopping center, dubbed Dulles 28 Centre, along the same corridor.",100
4604,1021,"MacCentral - Mac Publishing LLC, the publishers of Macworld magazine on Monday announced Playlist, a new digital music magazine for Mac and Windows users. The new magazine, which will be newsstand-only, will be available on August 24, 2004.",100
1138,46144,"MOSCOW -- Russia's Cabinet approved the worldwide Kyoto Protocol on global warming yesterday, clearing the way for implementation of",80
2927,96032,The industry filed copyright infringement lawsuits against 761 computer users in the latest round of litigation in the,60
611,40553,The Afghan president makes a rare visit,40
1544,50018,"Sun Microsystems on Tuesday will detail ""Panther,"" which promises more high-speed cache memory and higher clock speeds.",100
3017,103000,AP - Shay Doron and Crystal Langhorne had 16 points each to lead No. 22 Maryland to a 76-56,60
4692,98689,A computer firm is criticised by the Kennedy family for,60
4496,52162,AP - Pinch-hitter John Vander Wal chose,40
2858,12211,"PC giant unveils consumer electronics strategy, including iPod music player, high-definition TVs and PCs",80
3861,72341,"Australias third-biggest bank said one-off factors, such as the loss of earnings from the sale of",40
4238,843,"NEW YORK (Reuters) - Allstate Corp. ;ALL.N;, the No. 2 U.S. home and auto insurer, on Monday said potential losses stemming from Hurricane",80
3130,96471,It 39;s the fight computer gamers,20
1688,12453,"AP - Julian Tavarez's baseball cap is dirty and grimy 151; but not illegal, according to the",80
1961,25958,Component problems meant Brillian's,40
1706,97045,Reuters - Oracle Corp. Friday said 61 percent of PeopleSoft Inc. shares were tendered for,40
1936,25492,Reuters - US Airways Group Inc. sought bankruptcy on Sunday for the,40
2563,60973,"Prince Norodom Sihamoni, 51, a dancer and choreographer, is to be crowned king this month, carrying out the wishes of his father in the first change",80
2645,46136,It is a tribute to,20
1452,51371,"BANGKOK, Thailand (DPA): Activists from the Greenpeace environmentalist group on Wednesday handcuffed themselves to the gates of the Malaysian embassy in",60
918,64559,Following is the Globe Top 20 in EMass for girls' soccer. No. Team Record Last 1. Belmont 12-0-1 1 2. Oliver Ames 11-1-0 2 3. Lynnfield 12-0-0 3 4. Andover 12-0-0 4 5. Norwell 12-0-0 5 6. Bishop Feehan 11-1-1 9 7. Old Rochester 12-1-1 7 8. Wellesley,80
3911,46850,"ALEXANDRIA, Va. Oct. 1, 2004 - A former top Air Force procurement",40
3102,56241,"quot;It looked like (Makonnen) was held or bumped or something, quot; Rodgers",60
2643,105908,"AP - Antonio McDyess had 19 points and 10 rebounds and Richard Hamilton also scored 19, helping the Detroit Pistons snap a five-game road losing streak with a 93-72 win",80
130,17706,"Computer, chip maker will",20
2132,118356,The Foreign Office tonight warned Britons against all but essential travel to Indonesia in the,60
